2024-12-20 at 11:20:27 | INFO | Бот успешно запущен.
2024-12-20 at 11:20:44 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:20:44 | INFO | Запись не найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:20:44 | INFO | Добавление записи User с параметрами: {'telegram_id': 5127841744, 'username': 'yakvenalexx', 'first_name': 'Alexey', 'last_name': 'Yakovenko'}
2024-12-20 at 11:20:44 | INFO | Запись User успешно добавлена.
2024-12-20 at 11:20:51 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:20:51 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:20:58 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:20:58 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:25:10 | ERROR | Бот остановлен!
2024-12-20 at 11:25:17 | INFO | Бот успешно запущен.
2024-12-20 at 11:25:20 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:25:20 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:26:33 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:26:33 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:27:39 | ERROR | Бот остановлен!
2024-12-20 at 11:27:48 | INFO | Бот успешно запущен.
2024-12-20 at 11:27:49 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:27:49 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:28:40 | ERROR | Бот остановлен!
2024-12-20 at 11:28:48 | INFO | Бот успешно запущен.
2024-12-20 at 11:28:52 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:28:52 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:54:13 | ERROR | Бот остановлен!
2024-12-20 at 11:54:21 | INFO | Бот успешно запущен.
2024-12-20 at 11:54:24 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:54:24 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 11:54:26 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 11:54:27 | INFO | Найдено 6 записей.
2024-12-20 at 12:01:04 | ERROR | Бот остановлен!
2024-12-20 at 12:06:10 | INFO | Бот успешно запущен.
2024-12-20 at 12:06:14 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:06:14 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:06:17 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 12:06:17 | INFO | Найдено 6 записей.
2024-12-20 at 12:07:53 | ERROR | Бот остановлен!
2024-12-20 at 12:07:59 | INFO | Бот успешно запущен.
2024-12-20 at 12:08:03 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:08:03 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:08:05 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 12:08:05 | INFO | Найдено 6 записей.
2024-12-20 at 12:08:27 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 12:08:27 | INFO | Найдено 6 записей.
2024-12-20 at 12:08:42 | ERROR | Бот остановлен!
2024-12-20 at 12:08:48 | INFO | Бот успешно запущен.
2024-12-20 at 12:08:52 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:08:52 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:08:54 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 12:08:54 | INFO | Найдено 6 записей.
2024-12-20 at 12:08:57 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 12:08:57 | INFO | Найдено 6 записей.
2024-12-20 at 12:09:15 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 12:09:15 | INFO | Найдено 6 записей.
2024-12-20 at 12:12:12 | ERROR | Бот остановлен!
2024-12-20 at 12:12:19 | INFO | Бот успешно запущен.
2024-12-20 at 12:12:21 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:12:21 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:12:51 | ERROR | Бот остановлен!
2024-12-20 at 12:12:57 | INFO | Бот успешно запущен.
2024-12-20 at 12:12:59 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:12:59 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:14:04 | ERROR | Бот остановлен!
2024-12-20 at 12:14:13 | INFO | Бот успешно запущен.
2024-12-20 at 12:14:15 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:14:15 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:15:16 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 12:15:16 | INFO | Найдено 6 записей.
2024-12-20 at 12:15:25 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 12:15:25 | INFO | Найдено 6 записей.
2024-12-20 at 12:15:50 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 12:15:50 | INFO | Найдено 6 записей.
2024-12-20 at 12:15:55 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 12:15:55 | INFO | Найдено 6 записей.
2024-12-20 at 12:31:15 | ERROR | Бот остановлен!
2024-12-20 at 12:31:24 | INFO | Бот успешно запущен.
2024-12-20 at 12:31:26 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:31:26 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:31:56 | ERROR | Бот остановлен!
2024-12-20 at 12:32:03 | INFO | Бот успешно запущен.
2024-12-20 at 12:32:09 | INFO | Подсчет количества записей User по фильтру: {}
2024-12-20 at 12:32:09 | INFO | Найдено 1 записей.
2024-12-20 at 12:41:25 | ERROR | Бот остановлен!
2024-12-20 at 12:41:33 | INFO | Бот успешно запущен.
2024-12-20 at 12:41:38 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:41:38 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:41:46 | ERROR | Ошибка при получении статистики: (sqlite3.OperationalError) near ")": syntax error
[SQL: SELECT count(*) AS total_users, count(case(?)) AS new_today, count(case(?)) AS new_week, count(case(?)) AS new_month]
[parameters: ((<sqlalchemy.sql.elements.BinaryExpression object at 0x0000017AA687CB30>, 1), (<sqlalchemy.sql.elements.BinaryExpression object at 0x0000017AA699CF80>, 1), (<sqlalchemy.sql.elements.BinaryExpression object at 0x0000017AA699D190>, 1))]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2024-12-20 at 12:43:11 | ERROR | Бот остановлен!
2024-12-20 at 12:43:18 | INFO | Бот успешно запущен.
2024-12-20 at 12:43:25 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:43:25 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:43:37 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2024-12-20 at 12:43:51 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5321351707}
2024-12-20 at 12:43:51 | INFO | Запись не найдена по фильтрам: {'telegram_id': 5321351707}
2024-12-20 at 12:43:51 | INFO | Добавление записи User с параметрами: {'telegram_id': 5321351707, 'username': 'yakvenalex', 'first_name': 'Алексей', 'last_name': 'Яковенко'}
2024-12-20 at 12:43:51 | INFO | Запись User успешно добавлена.
2024-12-20 at 12:44:05 | INFO | Статистика успешно получена: {'total_users': 2, 'new_today': 2, 'new_week': 2, 'new_month': 2}
2024-12-20 at 12:47:17 | INFO | Статистика успешно получена: {'total_users': 2, 'new_today': 2, 'new_week': 2, 'new_month': 2}
2024-12-20 at 12:56:50 | ERROR | Бот остановлен!
2024-12-20 at 12:56:59 | INFO | Бот успешно запущен.
2024-12-20 at 12:57:03 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 12:57:03 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
